screen_name,tweet,polarity,subjectivity,retweet_count,retweet_at,in_reply_to_screen_name,tweet_len,tweet_is_Retweet
AlisonHarriso16,From ‘Ruth’s remainers’ to Johnson’s hard Brexit enthusiasts. The inevitable assimilation of the Scottish Conservatives is complete. https://t.co/xulGIgzd82,-0.0638888888888889,0.6472222222222221,0, @PeteWishart,,156,True
PharmaReview,"In the wake of #Brexit, pharma will need to respond to a new regulatory landscape. Peter Morgan discusses how businesses have to prepare for the oncoming political changes, all whist retaining high #pharmaceutical product #quality https://t.co/fL9bwVxOVW https://t.co/TpeSJZwZo9",0.0987878787878788,0.3648484848484848,0,,,278,False
IanSollom,"UK in changing Europe has pub’d #Brexit manifesto paper. ‘Get Brexit Done’ the slogan, but how &amp; what it means for the economy will be story of 2020 if BJ wins. Estimates of fiscal impact of Tory deal helps explain why manifesto light on tax/spend commitment. PM’ll need latitude https://t.co/WUdd8Zd9SQ",0.35,0.44999999999999996,0, @BethRigby,,307,True
chrisoldcorn,"#Trump Baby’s #UK Visit – Christopher Oldcorn

#blog #essay #news #politics #government #populist #uspolitics #uspoli #ukpolitics #ukpoli #london #scotland #TrumpBaby #usa #america #canada #eu #europe #brexit #maga #msm #gop #whitehouse 
https://t.co/GT7QMtPwid",0.0,0.0,0,,,261,False
Wetwinter1,"@Deasbad @ScotTories @Jackson_Carlaw So the #USA #japan #Canada #Australia and 151 other countries are isolated. .. right Einstein. 

#brexit #leavemeansleave",0.08035714285714285,0.45535714285714285,0,,Deasbad,158,False
CStanleyDirect,"We look at the #events that have shaped #markets last week. Read our weekly round up on 👉 https://t.co/we8aydEDhy

#HongKong #UK #election #Brexit #CyberSecurity #BlackFriday #trade #tradewar #BeyondMeat #climate #eBay #Uber #mining https://t.co/qO85pdmFDn",-0.1,0.23333333333333334,0,,,256,False
deveregroup,"General election LIVE: Labour in panic as their #Brexit 'Achilles heel' exposed by poll
#deVereGroup 
https://t.co/jSoGbQ7OwN
@Daily_Express https://t.co/Dy2GwnYr6n",0.09318181818181819,0.5,0,,,164,False
CorbynCorporal,"@fa5c Labour defeatism a Smokescreen to convince Tory voters the job’s done. Don’t fall for it, every vote counts!
#GE2019 #VoteConservative for #Brexit and the time to rebuild Britain",0.0,0.0,0,,fa5c,184,False
CarolAnneMarti2,"""Prepared and Resilience""

Abacus has no idea what she is talking about, and she never read the report, she's never read any report... ever!

Terrifying... bu comedy gold.

#GE2019 #Brexit🇬🇧  
https://t.co/GekJUuVi3l",-1.0,1.0,0, @DarrenPlymouth,,216,True
EliotKate,"I'm not a #ClassTraitor, @UKLabour ARE 👇👇
1) I want to work, not sponge off others.
2) I need opportunity, not free crap I have to pay for by stealth anyway.
3) I want my nation to be free, so #Brexit is a must. I want UK to be a world-leader in fairness to the WHOLE world.
...",-0.09999999999999999,0.7000000000000001,0, @uk_rants,,278,True
elibo_17,"“Up North a lot of working class voted Leave
Corbyn's gone against that, hasn’t he?
He hasn’t said it, but he has!”
“We’re spending so much money in Europe we could put into our own NHS &amp; Schools &amp; Education &amp; Social Workers.
Sort it out Here!”
#Brexit #EU
https://t.co/I9iKsg4llg",0.28055555555555556,0.4222222222222222,0, @astro_trader,,292,True
Anthmckenzie,"Kay: How important is US trade deal?

Fox: Well the US is about 19% of our exports

Kay: But EU is about 40%?

Fox: Its 44%

#GE2019 #Brexit https://t.co/YXGzMTTY9X",0.4,1.0,0, @Doozy_45,,164,True
PortaWyld,What sort of 'Get Brexit done' b*llend are you?  #FBPE #Brexit #Remain #RevokeA50 #RejectBrexit #UniteToRemain #RemainAlliance  https://t.co/E2tYKU5Y71,0.0,0.0,0, @Colin_CWilliams,,151,True
RWInvest,"Our guide has been created to dismiss any Brexit myths, and provide a thorough response to the speculations surrounding Britain’s departure.

Read it here 👉 https://t.co/GGG1OJJPRM

#propertyinvestment #Investmentproperty #propertyinvestmentuk #propertyinvestor #buytolet #brexit https://t.co/ngcZOOsJru",0.0,0.0,0,,,303,False
DevonianMatthew,Boris Johnson suddenly realises he cannot trust his friend Donald Trump. So why should we? / #GE2019 #Brexit #NHS https://t.co/TFOpLavs1a,0.0,0.5,0, @Doozy_45,,137,True
fidelmamelia,ICSA making the argument about how much Brexit is impacting beef sector at Global Food Forum in Brussels https://t.co/XuUHNU156o,0.1,0.1,0, @EddiePunch,,128,True
scholarrob,"@danbloom1 Lying tory bastard. The NHS is not safe in their hands - simple as!
People may not need it now but when its carved up you will regret it forever

https://t.co/XbhmSqL22l",-0.125,0.4285714285714286,0,,danbloom1,180,False
Mags_708,"Liam Fox is a remainer now 
😂😂😂 https://t.co/jnzyKkLsBt",0.0,0.0,0, @SpanishDan1,,55,True
TPeryer,Is anyone actually shocked by this? The arrogance of @MrNishKumar is clear for all to see and his case of #BrexitDerangementSyndrome has only been getting worse. He is a vicious narcissist with a victim complex. #Brexit #GE2019 https://t.co/UL7l28bTA4,-0.3392857142857143,0.6047619047619047,0, @Barnesy19,,251,True
jentoo44,It’s about #RealChange it’s not about #Brexit Be warned #BorisJohnsonLies You know that. There’s proof. He’s been sacked from two jobs for lying be sure be safe #VoteLabourDecember12,0.5,0.6944444444444444,0, @MaccLabour,,182,True
JillAshleyJone1,"Born LIAR!!

Q: ""Should the NHS be on the table in trade talks?

Trump: Well I've never really thought about it

#GE2019 #Brexit #NHS https://t.co/Q6JFM2KOa6",-0.1,0.2,0, @Doozy_45,,157,True
News247WorldPre,"Breaking: Macron has rubbed allies the wrong way recently with unpopular stances on #NATO, the #EU and #Brexit. https://t.co/ljjJCSUYFX https://t.co/3Q63GGhAS7",-0.25,0.575,0,,,159,False
HPJones95,"Never Forget:

""There is not enough Doctors/Nurses. The #NHS has been destroyed. Now you come here for a press opportunity""

#GE2019 #Brexit https://t.co/SpOc4gblE3",0.0,0.5,0, @Doozy_45,,164,True
EricdeMarylebon,You have to agree that @HackedOffHugh is the best PM the United Kingdom 🇬🇧 has ever had 🥳 #GeneralElection2019 #StopBrexit #Brexit #DitchTheTories #ReleaseTheRussiaReport 🎧 on go on Hugh 👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼 https://t.co/Gb8BRthADK,1.0,0.3,0, @August05398614,,231,True
Jan85429176,"“Up North a lot of working class voted Leave
Corbyn's gone against that, hasn’t he?
He hasn’t said it, but he has!”
“We’re spending so much money in Europe we could put into our own NHS &amp; Schools &amp; Education &amp; Social Workers.
Sort it out Here!”
#Brexit #EU
https://t.co/I9iKsg4llg",0.28055555555555556,0.4222222222222222,0, @astro_trader,,292,True
alanwplace,"#bbcyourquestions I hope with the money we save from #Brexit the government pays nursing staff, carers, the Armed Forces and the Emergency services a living wage. https://t.co/o8ikbItNol",0.0,0.0,0,,,186,False
MattWestern_,"Great to join ⁦@realvicminett⁩ just  now on ⁦@BBCCovWarks⁩ for an hour’s debate. Unsurprisingly, the #NHS #Trumped #Brexit in terms of public concerns for #GE2019. #RealChange needed in this country https://t.co/fakJRvokuB",0.4,0.4083333333333333,0,,,222,False
Sc1George,"A vote for Labour could be a vote for Abacus as your home secretary.

You wouldn't want her in charge of a sweet shop, so why would you want her in charge of your security?

DON'T VOTE #LABOUR!

#GE2019 #Brexit🇬🇧  
https://t.co/9cxkPOu5hI",0.4375,0.65,0, @DarrenPlymouth,,238,True
philt5116,"Read the latest blog on the https://t.co/4uHufUhscn website from Alan Winters - Prof of Economics &amp;  Director of UK Trade Policy on why @BorisJohnson 's #ovenready #Brexit is yet another lie #GE2019
https://t.co/SqbZaWA6p9
@remainutd https://t.co/JW16mFauT4",0.5,0.9,0, @thatginamiller,,261,True
TomTerryInc,"Political advertising on Facebook: An open letter to Sir Nick Clegg. 
Read the latest blog post from @orisitme author of: 
- Brexit Comes to Bedwell Ash -
#writing #authorblog #amwriting #humour #brexit
#facebookadvertising #ukpolitics #Facebook #satire
➡ https://t.co/vOMkcXstpi https://t.co/2fPl8FwB71",0.16666666666666666,0.5,0, @WriteIntoPrint,,303,True
ZoeHollands,How could a Home Secretary not know that as UK isn’t part of Schengen it has maintained its own Border checks for everyone coming from outside the #EU?  Moreover #Brexit will actually weaken our border security by weakening security co- operation with our closest neighbours. https://t.co/3i7CdVsGVA,0.19999999999999998,0.38333333333333336,0, @Feorlean,,299,True
mattremains,"Born LIAR!!

Q: ""Should the NHS be on the table in trade talks?

Trump: Well I've never really thought about it

#GE2019 #Brexit #NHS https://t.co/Q6JFM2KOa6",-0.1,0.2,0, @Doozy_45,,157,True
JacekZmarzlik,"Here's a cheery thing I drew for 
@PoliticoEurope's annual magazine (out today) on how Brexit won’t be over by Christmas and is set to ruin many Christmases to come...

#hohoho #Brexit #GE2019 https://t.co/cfMZ2gTLeY",0.6,0.75,0, @BJennings90,,216,True
h2ofizz,"Born LIAR!!

Q: ""Should the NHS be on the table in trade talks?

Trump: Well I've never really thought about it

#GE2019 #Brexit #NHS https://t.co/Q6JFM2KOa6",-0.1,0.2,0, @Doozy_45,,157,True
dowgiveafunk,So the #NHS is not on the table. Even if it was on a silver platter! #corbynlies #LabourLies #Brexit,0.0,0.0,0,,,100,False
NGreen4libdems,"@981cay @KymYSmith @CliveWismayer @NGreen4libdems @LibDems @BestForBritain @remainutd Here’s some of the evidence to back up point that Tory vote rises when Labour perceived as challengers.
It’s because there’s a significant number of people who fear Corbyn more than they fear Johnson/ #Brexit https://t.co/02mX9mPqv8",0.2916666666666667,0.4583333333333333,0, @MatthewGreen02,,318,True
Nav2115,"It's weird that most of the people who support #Brexit seem to think Donald Trump is a good guy. But, I guess if your judgement is poor, it's understandable. Donald Trump is not a good guy. He's a very bad guy. And #BorisJohnson is no better!",-0.18178571428571427,0.6666666666666667,0, @derekjames150,,242,True
BXPWashington,"This is so true, especially in somewhere like my constituency Houghton and Sunderland South. We need to vote for @historykev and @brexitparty_uk The tory candidate isn't a credible option. Tories have never stood a chance here, make sure that continues https://t.co/hiOxH7cXXj https://t.co/Jx9IjPKs2H",0.3125,0.8097222222222221,0, @L1980David,,300,True
teddyhuggy,@BorisJohnson If you want brexit hog to never end then be indecisive and allow another hung parliament that will stop investors investing and growing our great UK. We must be decisive and end Brexit stalement. Let's get #Brexit done. Vote #Conservative. You country needs You.,0.8,0.75,0, @newstem61,,276,True
ThePoliticalApe,@WinterfellT @DominicGrieve1 if you honestly think rolling this prostitute using tosser out helps you in any way you’re as deluded as you are arrogant! #brexit #DrainTheSwamp #GE2019,0.75,0.9,0,,WinterfellT,182,False
cleggy261,It’s about #RealChange it’s not about #Brexit Be warned #BorisJohnsonLies You know that. There’s proof. He’s been sacked from two jobs for lying be sure be safe #VoteLabourDecember12,0.5,0.6944444444444444,0, @MaccLabour,,182,True
saftmick,"Kay: How important is US trade deal?

Fox: Well the US is about 19% of our exports

Kay: But EU is about 40%?

Fox: Its 44%

#GE2019 #Brexit https://t.co/YXGzMTTY9X",0.4,1.0,0, @Doozy_45,,164,True
GamerValleyboy,@frank_begbi @mac123_m @JolyonMaugham Never have seen him talk about poverty other than when mentioning #Brexit It's clear he don't really care about it The austerity &amp; poverty the last 9 years have happened when we still in the EU remaining or leaving want change it unless we get the Tories out #VoteLabourDecember12,0.04375000000000001,0.25625,0,,frank_begbi,322,False
pcrayth,Is anyone actually shocked by this? The arrogance of @MrNishKumar is clear for all to see and his case of #BrexitDerangementSyndrome has only been getting worse. He is a vicious narcissist with a victim complex. #Brexit #GE2019 https://t.co/UL7l28bTA4,-0.3392857142857143,0.6047619047619047,0, @Barnesy19,,251,True
RanDan76448882,"Representing a constituency that voted overwhelmingly to remain, I will campaign to leave............. https://t.co/rK5rb5iM37",0.5,1.0,0, @DunoonBranchSNP,,126,True
Binnsy_46,"@UKLabour Earlier this year, #channel4news did the #BrexitInbetweeners, speaking to young people aged 18-24.

That didn't go well either. Funny what happens when the lefty lovies speak to real people 🤭

@Femi_Sorry had to comfort eat a box of doughnuts afterwards 🤣

#GE2019 #Brexit https://t.co/wzuHWjuD3c",0.09,0.5199999999999999,0, @addicted2newz,,306,True
Mortimer4Kim,"It's weird that most of the people who support #Brexit seem to think Donald Trump is a good guy. But, I guess if your judgement is poor, it's understandable. Donald Trump is not a good guy. He's a very bad guy. And #BorisJohnson is no better!",-0.18178571428571427,0.6666666666666667,0, @derekjames150,,242,True
barbadosj58,@felicitygerry IPCC And CCRC Should Be Abolished For Helping Police And Judiciary Cover-Up Their Corruption Malfeasance And Misfeasance And For Protecting Their Own #panorama @ccrcupdate @libertyhq @7NewsMelbourne @RT_com @SkyNewsPolitics @PressTV #Brexit https://t.co/LDJC6QDdCH,0.6,1.0,0,,felicitygerry,279,False
bobchabar,"Kay: How important is US trade deal?

Fox: Well the US is about 19% of our exports

Kay: But EU is about 40%?

Fox: Its 44%

#GE2019 #Brexit https://t.co/YXGzMTTY9X",0.4,1.0,0, @Doozy_45,,164,True
alistairbuster,@JohnJCrace @MikeHolden42 says all it needs to - #Trump backs #Boris &amp; #Brexit 😱,0.0,0.0,0,,JohnJCrace,84,False
_Max_Baring_,"“Up North a lot of working class voted Leave
Corbyn's gone against that, hasn’t he?
He hasn’t said it, but he has!”
“We’re spending so much money in Europe we could put into our own NHS &amp; Schools &amp; Education &amp; Social Workers.
Sort it out Here!”
#Brexit #EU
https://t.co/I9iKsg4llg",0.28055555555555556,0.4222222222222222,0, @astro_trader,,292,True
BornLondoner,"@UKLabour Earlier this year, #channel4news did the #BrexitInbetweeners, speaking to young people aged 18-24.

That didn't go well either. Funny what happens when the lefty lovies speak to real people 🤭

@Femi_Sorry had to comfort eat a box of doughnuts afterwards 🤣

#GE2019 #Brexit https://t.co/wzuHWjuD3c",0.09,0.5199999999999999,0, @addicted2newz,,306,True
onbegRENSd,"Read the latest blog on the https://t.co/4uHufUhscn website from Alan Winters - Prof of Economics &amp;  Director of UK Trade Policy on why @BorisJohnson 's #ovenready #Brexit is yet another lie #GE2019
https://t.co/SqbZaWA6p9
@remainutd https://t.co/JW16mFauT4",0.5,0.9,0, @thatginamiller,,261,True
MichelBarnier,"Very good exchange with national and #EU parliamentarians at the 2019 #COSAC in sunny Helsinki today 🇪🇺🇫🇮
 
They represent the citizens who are always our priority when it comes to #Brexit.
 
We will continue to work in full transparency &amp; constant dialogue to build #EU27Unity. https://t.co/m7439hfcod",0.41999999999999993,0.5544444444444444,0,,,306,False
hjones112,"Read the latest blog on the https://t.co/4uHufUhscn website from Alan Winters - Prof of Economics &amp;  Director of UK Trade Policy on why @BorisJohnson 's #ovenready #Brexit is yet another lie #GE2019
https://t.co/SqbZaWA6p9
@remainutd https://t.co/JW16mFauT4",0.5,0.9,0, @thatginamiller,,261,True
calamity_major,"Read the latest blog on the https://t.co/4uHufUhscn website from Alan Winters - Prof of Economics &amp;  Director of UK Trade Policy on why @BorisJohnson 's #ovenready #Brexit is yet another lie #GE2019
https://t.co/SqbZaWA6p9
@remainutd https://t.co/JW16mFauT4",0.5,0.9,0, @thatginamiller,,261,True
tinman1004,"Being working class is not a disability &amp; I really wish @UKLabour would stop treating it as such.
We see more of life from the raw end is all.
We certainly aren't living a life seeking handouts. 🤷‍♂️ https://t.co/RI1wQjLB9L",0.13670329670329667,0.4465934065934066,0, @uk_rants,,227,True
Den2000,"Sir Winston Churchill's Grandson Pulls No Punches; Exposing Johnson for the Charlatan that he is:

#Brexit #PeoplesVote #StopBrexit #FinalSay #BrexitShambles #BrexitChaos #eu #uk #politics #NHS #Conservative #remain #labour #LibDems
 https://t.co/S8F1G3aDQN",0.0,0.0,0, @bumsore,,257,True
AureauTristan,"Very good exchange with national and #EU parliamentarians at the 2019 #COSAC in sunny Helsinki today 🇪🇺🇫🇮
 
They represent the citizens who are always our priority when it comes to #Brexit.
 
We will continue to work in full transparency &amp; constant dialogue to build #EU27Unity. https://t.co/m7439hfcod",0.41999999999999993,0.5544444444444444,0, @MichelBarnier,,306,True
amcgmobile,"Very good exchange with national and #EU parliamentarians at the 2019 #COSAC in sunny Helsinki today 🇪🇺🇫🇮
 
They represent the citizens who are always our priority when it comes to #Brexit.
 
We will continue to work in full transparency &amp; constant dialogue to build #EU27Unity. https://t.co/m7439hfcod",0.41999999999999993,0.5544444444444444,0, @MichelBarnier,,306,True
AlexWitzleben,"'What we have found out through our simple passion to discover things is the means by which cells sense and respond to low oxygen.'  Sir Peter Ratcliffe @UniofOxford
#EUHealthResearch #ResearchImpactEU 🇪🇺 #Brexit #cancer #kidney #anaemia #healthcare https://t.co/rB7BeYiXl8",0.0,0.32857142857142857,0,,,273,False
sabinenamba,"Very good exchange with national and #EU parliamentarians at the 2019 #COSAC in sunny Helsinki today 🇪🇺🇫🇮
 
They represent the citizens who are always our priority when it comes to #Brexit.
 
We will continue to work in full transparency &amp; constant dialogue to build #EU27Unity. https://t.co/m7439hfcod",0.41999999999999993,0.5544444444444444,0, @MichelBarnier,,306,True
HendonGooner,On the leaders debate like butter wouldn't melt.. w@nker! https://t.co/rfYID40JQn,0.0,0.0,0, @TrishaPhillipss,,81,True
CarolFosse1,Trump more or less gave his thumbs up to @BorisJohnson. Let's hope it has the opposite effect. He knew #Brexit would pass.  Hey Boris I think Trump put a STOP to you.  He says he knows nothing about @jeremycorbyn. What a liar @realDonaldTrump you know alot about Cornyn.,0.11111111111111112,0.18888888888888888,0,,,270,False
Red_Lab19,"@lucyallan @Conservatives Aye, better to take the safer #brexit option of leaving the worlds second largest economy and largest trading bloc, handing control of the health service to a guy with a solid track record of lying and doing trade deals with the Donald. #GE2019 #nuts",0.16666666666666666,0.19999999999999998,0, @Duncnreid,,276,True
GamerValleyboy,"@JolyonMaugham Remaining in the EU wont change the Poverty caused by the Tories and Lib Dems when we've been in the EU the last Nine years, getting the #Tories out is the only way to end poverty, it's nothing to do with #Brexit",0.0,0.5333333333333333,0,,JolyonMaugham,227,False
RoyB71084885,"Bring me hatred
in your snear,
Bring me #FakeNews
all the while,
In this world where we live
there should be more bigotry
So much pain we can inflict
to each brand new #Brexit tomorrow

#TrumpVisit #BorisJohnson https://t.co/XBfcmZF6m3",0.2431818181818182,0.41363636363636364,0, @ElCorbynista,,235,True
TheScri76057990,"Margaret Becket #LABOUR candidate in #Derby South is the most undemocratic MP in UK.

❌SHE VOTED AGAINST A GENERAL ELECTION
❌SHE WANTS A SECOND REFERENDUM
❌SHE SUPPORTS JEREMY CORBYN
❌SHE IS HIDING FROM DEBATE
❌SHE IS HIDING FROM YOU

#GE2019 #Brexit 
https://t.co/dzUTBhMnE2",0.1875,0.275,0, @DarrenPlymouth,,275,True
hadjley,"JolyonMaugham Remaining in the EU wont change the Poverty caused by the Tories and Lib Dems when we've been in the EU the last Nine years, getting the #Tories out is the only way to end poverty, it's nothing to do with #Brexit",0.0,0.5333333333333333,0,,,226,False
Annie17Lois,"Kay: How important is US trade deal?

Fox: Well the US is about 19% of our exports

Kay: But EU is about 40%?

Fox: Its 44%

#GE2019 #Brexit https://t.co/YXGzMTTY9X",0.4,1.0,0, @Doozy_45,,164,True
4WellnessToday,"#GE12 #GE2019 Boris #Johnson's #Brexit plans will cost UK economy up to £20bn a year, report warns https://t.co/AVCBzcQrtr",0.0,0.0,0,,,122,False
Mundusmaris,"What about thinking about more cooperation to rebuild sub-optimal stocks? #fisheries #Brexit
https://t.co/WtKZYuBarF https://t.co/rrK9GzceNK",0.5,0.5,0,,,140,False
Johnsmi46126224,@BpsmithUk After #Brexit will we be wanting a trade deal with #Vietnam ?,0.0,0.0,0,,BpsmithUk,72,False
TerhiBunders,"Very good exchange with national and #EU parliamentarians at the 2019 #COSAC in sunny Helsinki today 🇪🇺🇫🇮
 
They represent the citizens who are always our priority when it comes to #Brexit.
 
We will continue to work in full transparency &amp; constant dialogue to build #EU27Unity. https://t.co/m7439hfcod",0.41999999999999993,0.5544444444444444,0, @MichelBarnier,,306,True
Shr33k1,"Good on her. Shameful on Corbyn's part. Article from 2017 - but shows how Corbyn's mind works.

https://t.co/xyhwsQRvq6

#CostOfCorbyn #Labour #Corbyn #JeremyCorbyn #Liebour #NeverCorbyn

#BackBoris #BorisJohnsonPM #BorisJohnson #Leave #Brexit",0.7,0.6000000000000001,0,,,243,False
RedGeorgieOne,"And to anyone thinking, 'Why bother?  Parties never do what they promise anyway', believe it or not, they do!  A recently published study showed that in the UK, some 86% of manifesto pledges were fulfilled - one of the best records in the world. https://t.co/RwUEAaEmpF",0.5,0.275,0, @ProfTimBale,,269,True
Hookie62,Diane Abbott “Stop throwing Tory talking points at me!” Emily Maitlis “This comment came from a Labour member!” (Diane’s attitude to Labour’s Northern working class writ large here folks!) 🤦‍♂️ #Brexit #Immigration #FOM #GeneralElection2019 #Newsnight https://t.co/Q74Lyy6230,0.26785714285714285,0.42857142857142855,0, @UxbEconomist07,,275,True
MiamiPapers,Errrm now @BorisJohnson knows how it feels. Seeing as we can't trust him! He's only trying to distance himself from @realDonaldTrump because he knows that link is turning more Tory lovers off! We need #RacistPresident to endorse BoJo during visit! https://t.co/VG9sUQfD25,0.390625,0.75,0, @lpz3,,271,True
ZoeHollands,Enough said,0.0,0.5,0,,,11,False
ZhanSFHA,"More questions for @KevinStewartSNP
4. Supply - where are we with the 35,000 pledge and looking forward, what new targets will be suggested? 

On track for delivery notwithstanding hard #Brexit
Need  to keep building 
Links to #Housing2040 consultation
#endinghomelessnesstogether",0.11489898989898989,0.4987373737373737,0,,,280,False
KerryLeeCrabbe,None of the parties has a clue what to do about Brexit —,0.0,0.0,0,,,56,False
mick54347753,How could a Home Secretary not know that as UK isn’t part of Schengen it has maintained its own Border checks for everyone coming from outside the #EU?  Moreover #Brexit will actually weaken our border security by weakening security co- operation with our closest neighbours. https://t.co/3i7CdVsGVA,0.19999999999999998,0.38333333333333336,0, @Feorlean,,299,True
barbadosj58,@LegalWritesUK IPCC And CCRC Should Be Abolished For Helping Police And Judiciary Cover-Up Their Corruption Malfeasance And Misfeasance And For Protecting Their Own #panorama @ccrcupdate @libertyhq @7NewsMelbourne @RT_com @SkyNewsPolitics @PressTV #Brexit #GE2019 @johnpilger https://t.co/eWnzlVKefV,0.6,1.0,0,,LegalWritesUK,299,False
babsben,"America, if you don’t see large protests in U.K. over Trumps visit its cause we are a bit busy trying to keep another fat blonde useless lying lump of corrupt racist shit out of Downing Street! 

Normal service will resume in a few weeks!

#NATOLondon #Trump #Brexit https://t.co/EnvcqIofOZ",-0.1294642857142857,0.4348214285714286,0, @weehalfpintt,,290,True
KangarooCaught,"""People knew what they were voting for in June 2016!"" - really? 
Do our #Brexit test and find out.""  These are straightforward questions about Britain and the EU. They are not trick questions.

Click here for answers:
https://t.co/t8bU6H0lyt

#AsbestosRoof
https://t.co/VoicfP9pWs https://t.co/uJVpxNIUqj",0.2875,0.2875,0,,,304,False
WellGreenBarn,"""It's a bit odd. PM who's been called the 'British Trump' by Donald Trump, is now cold shouldering him? 🔥

#GE2019 #Brexit

@adamboultonSKY https://t.co/Eze8REEowA",-0.25555555555555554,0.4166666666666667,0, @Doozy_45,,163,True
_Scheissesturm,@Jackson_Carlaw It’s not a referendum on a referendum. A vote for you lot is a vote for more #brexit division and uncertainty that will literally damage the country for decades to come.,0.5,0.5,0,,Jackson_Carlaw,185,False
DarrenPlymouth,"Asked about the #NHS, #Trump said, ""I don't even know where that rumour started.. If you handed it to us on a silver platter, we'd want nothing to do with it.""

Labour persisting with the lies, that's where the rumour started.

#GE2019 #Brexit🇬🇧 https://t.co/6aombpr3Vm",0.0,0.0,0,,,269,False
Bevans6969,Brexit is at most 1433 hours away. #brexit,0.5,0.5,0, @brexitcountdow1,,42,True
ROBANDTHEMOB,"@psreklaw_p @gareth_snell Sadly we can only take a view of the facts as presented; you chosen political party made great noise, regarding the NHS being “for sale”, and has tried to prove this with a document which is inconclusive. Our sitting MP has ignored his electorate over #Brexit, which is shameful !",0.125,0.7125,0,,psreklaw_p,306,False
